itemid,priceupdatedate,itemcode,itemname,manufacturername,manufacturecountry,manufactureritemdescription,unitqty,quantity,unitofmeasure,itemprice,unitofmeasureprice
44815,2019-04-02 06:21:51,8717163647226,דאו ספריי אקס בלאק 1,יוניליוור,אנגליה,דאו ספריי אקס בלאק 1,מיליליטרים,150.00,"100 מ""ל",7.90,0.0527
44817,,8717163647240,דאו ספריי אקס שוקולד,,,דאו ספריי אקס שוקולד,,,,9.90,0.0660
45707,2019-05-23 17:40:14,7290112340252,מסטיק מאסט צנצנת אבט,שטראוס,ישראל,מסטיק מאסט צנצנת אבט,גרמים,66.00,100 גרם,8.90,0.1348
40614,2020-07-06 12:18:10,7290108356106,תחליב רחצה כיף חלב ש,סנו,,תחליב רחצה כיף חלב ש,מיליליטרים,700.00,"100 מ""ל",7.90,0.0113
52485,2020-08-10 15:59:28,7290108620061,יין אסטייט שיראז,יקבי ציון,,יין אסטייט שיראז,,750.00,,34.90,0.0465
192,2021-05-13 15:13:23,7290000110844,כיפלי גריל 50 גרם,יוניליוור,,כיפלי גריל 50 גרם,גרמים,50.00,100 גרם,4.90,0.0980
57332,2021-06-14 16:47:13,7290115720280,סוכריות לגו בריקס 18,גרוסליין,סין,סוכריות לגו בריקס 18,,216.00,,18.90,0.0875
59398,2021-11-02 12:27:14,7290018795460,תרד טורקי,מרינה,ישראל,תרד טורקי,"Unknown ",0.00,"יחידה   ",11.90,0.0000
61326,2022-02-14 16:07:28,7290015279253,יין עמק יזרעאל דואט,יקב עמק יזרעאל,,יין עמק יזרעאל דואט,מיליליטרים,750.00,"100 מ""ל",99.90,0.1332
1031,2022-02-27 10:29:47,7290003078561,תיבול לשניצל אמריקאי,תבליני הדור השלישי,,תיבול לשניצל אמריקאי,גרמים,400.00,100 גרם,12.90,0.0323
61497,2022-03-02 09:27:13,7290108358100,מקלות ריחניים סנו פר,סנו,,מקלות ריחניים סנו פר,מיליליטרים,100.00,"100 מ""ל",19.90,0.1990
198,2022-03-06 12:46:48,7290000111360,חרדל תלמה 250 גרם,יוניליוור,,חרדל תלמה 250 גרם,גרמים,250.00,100 גרם,5.90,0.0236
61788,2022-03-16 10:47:14,7290112485274,סט סכום מהודר כסף לפ,פאלאס,סין,סט סכום מהודר כסף לפ,"Unknown ",0.00,"יחידה   ",29.90,0.0000
62892,2022-06-01 13:27:16,670087649586,יין פאר כבשה שחורה ב,יקב פאר,ישראל,יין פאר כבשה שחורה ב,מיליליטרים,750.00,"100 מ""ל",99.90,0.1332
62894,,670087649609,יין פאר אייל בלנד אב,,,יין פאר אייל בלנד אב,,,,,
20134,2022-06-27 09:00:27,7290006497130,קישקע פרווה רובינפלד,",",לא ידוע,קישקע פרווה רובינפלד,גרמים,500.00,100 גרם,17.90,0.0358
4458,2022-06-30 14:31:39,7290000023816,יין קלאסיק אמרלד ריז,יקבי ברקן,ישראל,יין קלאסיק אמרלד ריז,מיליליטרים,750.00,"100 מ""ל",31.90,0.0425
6433,2022-07-24 06:37:36,7290103153786,מכסים לתבניות בינוני,אופל אריזות בעמ,,מכסים לתבניות בינוני,"Unknown ",0.00,"יחידה   ",5.90,0.0000
63665,2022-08-08 09:07:19,7290017978246,קרחוני לייט בטעם תות,"גלידות ריאו ביח""ר לג",,קרחוני לייט בטעם תות,גרמים,720.00,100 גרם,14.50,0.0201
16705,2022-08-21 16:02:58,7290015781305,יין אימפרשן סירה,יקב טפרברג 1870 בעמ,,יין אימפרשן סירה,מיליליטרים,750.00,"100 מ""ל",49.90,0.0665
4935,2022-09-09 09:10:11,7290000902777,שימורים מ 160 גרם חי,",",,שימורים מ 160 גרם חי,גרמים,400.00,100 גרם,6.60,0.0165
64387,2022-09-28 11:07:18,7290014236936,שקיות אשפה 75*90 גול,רזפול,תורכיה,שקיות אשפה 75*90 גול,"Unknown ",0.00,"יחידה   ",11.90,0.0000
15921,2022-10-02 08:26:13,7290015321228,זנגוויל פרג 200 גרם,תבליני הדור השלישי,ישראל,זנגוויל פרג 200 גרם,גרמים,200.00,100 גרם,21.90,0.1095
11509,2022-12-11 08:38:41,7290002739906,עצמות עוף קפוא קהילו,עוף עוז,,עצמות עוף קפוא קהילו,קילוגרמים,1.00,"ק""ג",7.90,7.9000
10570,2023-01-01 08:25:42,7290014466463,יין הר חרמון מוסקטו,יקב רמת הגולן,,יין הר חרמון מוסקטו,מיליליטרים,750.00,"100 מ""ל",34.90,0.0465
60412,2023-01-01 08:26:35,7290110329808,מעדן סויה ביו תות אל,תנובה,,מעדן סויה ביו תות אל,גרמים,150.00,100 גרם,4.70,0.0313
63062,2023-01-08 08:29:35,7290018652923,שלגונים בטעם מסקרפונ,גלידות נסטלה,,שלגונים בטעם מסקרפונ,,215.00,,26.90,0.1251
66269,2023-01-30 12:07:16,7290012576362,יין ספיישל רזרב קברנ,יקבי ברקן,,יין ספיישל רזרב קברנ,מיליליטרים,750.00,"100 מ""ל",59.90,0.0799
33969,2023-02-01 10:29:51,7290112481030,כוס קריסטל בלו שיין,פאלאס,סין,כוס קריסטל בלו שיין,"Unknown ",0.00,"יחידה   ",19.90,0.0000
48125,2023-02-01 11:18:52,7290112482570,קעריות אובלי לוקה 25,,,קעריות אובלי לוקה 25,,,,,
55395,2023-03-07 10:10:14,7290108508178,פסטה פנה ללא גלוטן פ,ניולאט פוד,איטליה,פסטה פנה ללא גלוטן פ,גרמים,400.00,100 גרם,9.90,0.0248
61932,2023-03-12 08:02:38,7290008455626,עוף מס 3 קפוא אחדות,סנטרל גלאט,ישראל,עוף מס 3 קפוא אחדות,קילוגרמים,1.00,"ק""ג",29.90,29.9000
48730,2023-03-12 08:02:41,7290112415400,עוגיות אלפחורס תופינ,קפולסקי אדל בעמ,,עוגיות אלפחורס תופינ,גרמים,280.00,100 גרם,34.90,0.1246
67074,2023-03-13 13:27:14,7290015155830,מחית תפוח בננה פרינו,פרוטה,צכיה,מחית תפוח בננה פרינו,,120.00,,5.90,0.0492
67077,,7290018516324,"מחית תפו""ע ושיבולת ש",,,"מחית תפו""ע ושיבולת ש",,,,,
11930,2023-03-19 09:06:36,710069812031,רוטב פיצה רגיל גפן 7,גיובאני קומפני,ארצות הברית,רוטב פיצה רגיל גפן 7,,737.00,,18.90,0.0256
2358,2023-03-24 08:41:52,7290011254490,סוכריות ללא סוכר פיר,מיה תעשיות מזון בעמ,ישראל,סוכריות ללא סוכר פיר,,80.00,,5.90,0.0738
67524,2023-04-13 09:47:16,7290019107606,עגבניות מגי,אראל תוצרת חקלאית בע,,עגבניות מגי,"Unknown ",0.00,"יחידה   ",9.90,0.0000
67804,2023-05-07 14:47:14,7290110579333,מסטיק מאסט קוביות בט,אסקום בעבור שטראוס,גרמניה,מסטיק מאסט קוביות בט,גרמים,60.00,100 גרם,8.90,0.1483
14447,2023-05-14 14:27:00,966192087338,ניילון נצמד 915 מטר,",",לא ידוע,ניילון נצמד 915 מטר,מטרים,915.00,מטר,99.90,0.1092
51400,2023-05-30 09:52:25,7290011018184,"פיוז תה אפרסק 500 מ""",קוקה קולה,ישראל,"פיוז תה אפרסק 500 מ""",מיליליטרים,500.00,"100 מ""ל",4.90,0.0098
68143,2023-06-08 09:47:16,7290119039982,עוגת פס שוקולטה 400,קפולסקי אדל בעמ,,עוגת פס שוקולטה 400,גרמים,400.00,100 גרם,44.90,0.1122
14303,2023-06-11 12:31:19,5901483060022,חליטת עלי מרווה 20 ש,bifix,פולין,חליטת עלי מרווה 20 ש,,40.00,,8.80,0.2200
51724,2023-06-11 12:31:26,7290102398669,משקה אייס קפוצ'ינו ט,טרה,ישראל,משקה אייס קפוצ'ינו ט,קילוגרמים,1.00,"ליטר    ",12.40,12.4000
8749,2023-06-11 12:31:45,7290011501570,מיץ שזיפים פרון 946,",",ארצות הברית,מיץ שזיפים פרון 946,מיליליטרים,946.00,"100 מ""ל",24.90,0.0263
2729,2023-06-25 09:12:20,7290008464703,מארז בירה מכבי 5% 6*,טמפו,ישראל,מארז בירה מכבי 5% 6*,קילוגרמים,1.98,"ליטר    ",33.70,17.0202
68669,2023-07-13 13:27:14,7290108620481,יין אסטייט בלנד אדום,יקבי ציון,,יין אסטייט בלנד אדום,,1.50,,69.90,46.6000
69036,2023-08-02 06:07:34,7290009009668,כרוב אדום ערוגות ג'מ,",",,כרוב אדום ערוגות ג'מ,"Unknown ",0.00,"יחידה   ",17.90,0.0000
15080,2023-08-06 08:35:51,87752017227,ליקר שמרלינג שוקולד,שמרלינג,איטליה,ליקר שמרלינג שוקולד,מיליליטרים,750.00,"100 מ""ל",99.90,0.1332
11560,2023-08-22 05:28:12,712963001832,עלי שוקולד חלב גרוס,אלפרוז,שווייץ,עלי שוקולד חלב גרוס,גרמים,125.00,100 גרם,18.90,0.1512
69802,2023-09-06 14:47:15,7290108620337,יין אדום מתוק מתיישן,יקבי ציון,ישראל,יין אדום מתוק מתיישן,מיליליטרים,750.00,"100 מ""ל",99.90,0.1332
69959,2023-09-11 14:27:14,7290002292708,בשר מס' 8 שריר הזרוע,סירסיל,אורוגואי,בשר מס' 8 שריר הזרוע,קילוגרמים,1.00,"ק""ג",89.90,89.9000
1302,2023-09-19 07:59:02,7290003996513,כרוב אדום 400 גרם,יעל ירק עלים,ישראל,כרוב אדום 400 גרם,גרמים,400.00,100 גרם,12.90,0.0323
14643,2023-09-20 08:58:06,4009900484060,מסטיק אורביט פרופשיו,ריגלי,פולין,מסטיק אורביט פרופשיו,,84.00,,15.70,0.1869
6142,2023-10-10 12:10:00,7290002830184,פילה לברק דלידג קפוא,דלידג,ישראל,פילה לברק דלידג קפוא,קילוגרמים,1.00,"ק""ג",47.90,47.9000
71356,2023-12-04 14:27:20,7290009009392,סלרי עלים ערוגות המש,ערוגות המשק,,סלרי עלים ערוגות המש,"Unknown ",0.00,"יחידה   ",5.90,0.0000
20043,2023-12-05 10:28:35,7290000530468,נקניקיות וינר זוגלוב,זוגלובק,,נקניקיות וינר זוגלוב,"פריט    ",1.00,"ק""ג     ",25.90,25.9000
72045,2024-01-25 16:27:15,7290119772643,קוקטייל וודקה ג'ין ט,יפאורה שותפות מוגבלת,,קוקטייל וודקה ג'ין ט,מיליליטרים,280.00,"100 מ""ל",12.50,0.0446
72070,2024-01-28 15:27:16,7290117906002,לקריץ קפיצי בטעם פיר,",",,לקריץ קפיצי בטעם פיר,גרמים,300.00,100 גרם,14.90,0.0497
51305,2024-01-30 08:57:08,7290000289236,ג'ל פיתיון נמלים K3,סנו,,ג'ל פיתיון נמלים K3,,10.00,,39.90,3.9900
51256,2024-01-30 08:57:13,7290101869818,מטהר חשמלי אירוויק +,רקיט בנקיזר,אנגליה,מטהר חשמלי אירוויק +,"Unknown ",0.00,"יחידה   ",25.90,0.0000
6380,2024-02-13 08:06:33,7290013677129,שעועית מעורבת סלקטד,מיה תעשיות מזון בעמ,ישראל,שעועית מעורבת סלקטד,גרמים,500.00,100 גרם,11.70,0.0234
72241,2024-02-15 08:04:55,633824111852,וודקה ואן גוך בטעם א,מזקקת או.די.בי,הולנד,וודקה ואן גוך בטעם א,קילוגרמים,1.00,"ליטר    ",139.90,139.9000
62959,2024-02-21 07:56:55,712963005625,שוקולד גרוס מריר במי,זווסקו ד.ד.,קרואטיה,שוקולד גרוס מריר במי,גרמים,100.00,100 גרם,12.90,0.1290
5147,2024-03-03 07:45:20,7290002505037,ירכיים עוף קפוא קהיל,עוף עוז,ישראל,ירכיים עוף קפוא קהיל,קילוגרמים,1.00,"ק""ג",29.90,29.9000
9569,2024-03-03 07:45:23,7290000692135,דאו ספיד סטיק פאואר,קולגייט פלמוליב,בלרוס,דאו ספיד סטיק פאואר,מיליליטרים,51.00,"100 מ""ל",21.90,0.4294
46034,2024-03-03 07:45:24,35000458476,מברשת קולגייט ילדים,,ויטנאם,מברשת קולגייט ילדים,"Unknown ",0.00,"יחידה   ",19.90,0.0000
67546,2024-03-03 07:45:26,7509546063867,דאו ספריי ספיד סטיק,,בלרוס,דאו ספריי ספיד סטיק,מיליליטרים,150.00,"100 מ""ל",15.90,0.1060
73099,2024-03-27 12:27:15,7290002292647,בשר מס' 2 צלעות בקר,סירסיל,אורוגואי,בשר מס' 2 צלעות בקר,קילוגרמים,1.00,"ק""ג",79.90,79.9000
73100,,7290002292654,בשר מס' 3 חזה בקר אח,,,בשר מס' 3 חזה בקר אח,,,,74.90,74.9000
73113,2024-03-27 16:07:15,7290117905456,פרוסות פלפל חלפיניו,וינשל נטורי פוד,הודו,פרוסות פלפל חלפיניו,גרמים,360.00,100 גרם,7.90,0.0219
73157,2024-03-28 16:07:15,8904271201116,נוזל נעליים קיווי שח,קיווי,ארצות הברית,נוזל נעליים קיווי שח,מיליליטרים,75.00,"100 מ""ל",12.90,0.1720
73306,2024-04-08 11:27:16,7290112488428,"סט סכו""ם כתר לפיד כס",פאלאס,סין,"סט סכו""ם כתר לפיד כס","Unknown ",0.00,"יחידה   ",29.90,0.0000
73388,2024-04-09 12:27:17,7290112126047,ברוקולי  אינדירה 1 ק,מטה ארצכם,ישראל,ברוקולי  אינדירה 1 ק,"פריט    ",1.00,"ק""ג     ",,29.9000
73572,2024-04-16 13:07:15,7290117769102,ממתק חמוץ שטיח בטעם,גלובל גידה,תורכיה,ממתק חמוץ שטיח בטעם,גרמים,200.00,100 גרם,5.90,0.0295
73657,2024-04-30 15:07:16,7290000453446,בצק שמרים מצונן פיצה,פאקא תעשיות בעמ,צרפת,בצק שמרים מצונן פיצה,,500.00,,19.90,0.0398
72581,2024-05-13 08:39:52,7290101114345,מאגדת שלגוני פלדמן 9,הגלידות של פלדמן,ישראל,מאגדת שלגוני פלדמן 9,,200.00,,24.90,0.1245
66597,2024-05-19 14:39:17,7290109580463,נאגטס ספייסי שניצלונ,זוגלובק,,נאגטס ספייסי שניצלונ,,500.00,,22.90,0.0458
73973,2024-05-21 17:07:16,693493113731,פילה סרדינים בשמן סו,U.P.A,מרוקו,פילה סרדינים בשמן סו,,125.00,,8.90,0.0712
64560,2024-05-22 06:23:16,7290000490601,מאגדת גלידל  שלגון ב,הגלידות של פלדמן,ישראל,מאגדת גלידל  שלגון ב,,400.00,,32.90,0.0822
51207,2024-05-22 06:23:50,7290013585257,"ספרייט זירו 500 מ""ל",קוקה קולה,,"ספרייט זירו 500 מ""ל",מיליליטרים,500.00,"100 מ""ל",5.90,0.0118
74065,2024-05-29 10:27:16,7290117264904,תותים מוקפאים בציפוי,אלאלסי ג'ורג'יה פרוז,ארצות הברית,תותים מוקפאים בציפוי,גרמים,150.00,100 גרם,17.90,0.1193
74066,2024-05-29 11:27:15,370086480134,גבינת גרוייר 30% מקב,פרומאזרי מולין,צרפת,גבינת גרוייר 30% מקב,,220.00,,37.90,0.1723
18738,2024-05-29 12:31:06,7290105434050,דאודורנט ספיד סטיק י,קולגייט פלמוליב,בלרוס,דאודורנט ספיד סטיק י,,85.00,,21.90,0.2576
74321,2024-06-10 15:27:16,8700216236034,טבליות פיירי פלטינום,פרוקטר & גמבל,צרפת,טבליות פיירי פלטינום,,646.00,,49.90,0.0772
26510,2024-06-23 09:05:06,7290013771384,יוגורט ביו בסגנון יו,מחלבת רמת הגולן,ישראל,יוגורט ביו בסגנון יו,,400.00,,14.20,0.0355
75074,2024-07-28 11:07:16,7290112126221,דגני בוקר בוסט בטעם,נטורל קייקס,,דגני בוקר בוסט בטעם,,530.00,,17.90,0.0338
75082,2024-07-28 12:47:15,7290019204381,אצבעות שניצל בציפוי,עוף טוב,,אצבעות שניצל בציפוי,,600.00,,37.90,0.0632
1310,2024-08-08 07:56:07,7290003996971,"כרוב לבן קצוץ 1 ק""ג",יעל ירק עלים,,"כרוב לבן קצוץ 1 ק""ג","פריט    ",1.00,"ק""ג     ",19.90,19.9000
73780,2024-08-12 07:12:03,7290001867006,תפוח אדמה אדום,אראל תוצרת חקלאית בע,,תפוח אדמה אדום,"Unknown ",0.00,"יחידה   ",34.90,0.0000
75467,2024-08-22 08:47:15,7290120320116,סט אירוח צלחות שני ש,",",סין,סט אירוח צלחות שני ש,,,,21.90,
65221,2024-09-02 10:51:30,7290000262413,חיתולי האגיס אקסטרא,חוגלה קימברלי,ישראל,חיתולי האגיס אקסטרא,,,,46.90,
2472,2024-09-04 13:12:20,7290100685341,מרק בטעם עוף זך ר. ט,אסם,,מרק בטעם עוף זך ר. ט,גרמים,400.00,100 גרם,13.90,0.0348
75781,2024-09-08 17:07:16,7290014016736,עוגיות גרנולה ללא גל,נטורל קייקס,,עוגיות גרנולה ללא גל,,200.00,,17.90,0.0895
75941,2024-09-18 16:07:16,7290012969201,"תבניות ח""פ מלבניות א",אופל אריזות בעמ,,"תבניות ח""פ מלבניות א","Unknown ",0.00,"יחידה   ",4.90,0.0000
76014,2024-09-22 13:07:16,7290018464489,יין תניא כרם עין עיל,יקב תניא,,יין תניא כרם עין עיל,מיליליטרים,750.00,"100 מ""ל",119.90,0.1599
76040,2024-09-24 13:47:17,77028022321,בסיס להכנת פאי הדר 1,Gilster Mary Lee,ארצות הברית,בסיס להכנת פאי הדר 1,גרמים,170.00,100 גרם,14.90,0.0876
35547,2024-09-27 06:38:36,7290107646826,מארז חטיף דגנים שוגי,יוניליוור,ישראל,מארז חטיף דגנים שוגי,,188.00,,,0.0793
53175,2024-10-13 13:52:16,96619164998,פלפל שחור גרוס קירקל,קוסקו הולסייל,ארצות הברית,פלפל שחור גרוס קירקל,,359.00,,32.90,0.0916
76252,2024-10-14 09:27:15,7290005296895,קצף פוליבוי להברקת כ,פוליבוי,גרמניה,קצף פוליבוי להברקת כ,מיליליטרים,200.00,"100 מ""ל",22.90,0.1145
76283,2024-10-15 13:07:16,7290118425540,פתי בר קוקיז בטעם קר,אסם,ישראל,פתי בר קוקיז בטעם קר,גרמים,155.00,100 גרם,10.90,0.0703
5150,2024-11-03 07:19:42,7290002505068,שניצל עוף פרוס קפוא,קהילות,,שניצל עוף פרוס קפוא,קילוגרמים,1.00,"ק""ג",47.90,47.9000
27581,2024-11-03 07:19:43,7290004093181,סטייק פרגית עוף קפוא,יסכה,,סטייק פרגית עוף קפוא,,,,65.90,65.9000
76680,2024-11-18 17:07:16,7290117906729,תערובת תבשילים מרוקא,דין שיווק,,תערובת תבשילים מרוקא,גרמים,140.00,100 גרם,14.90,0.1064
76684,,7290117906767,תערובת השף תומר תומס,,,תערובת השף תומר תומס,,,,,
19803,2024-11-20 07:45:49,7290009001327,דלעת ערמונים,אראל תוצרת חקלאית בע,,דלעת ערמונים,קילוגרמים,1.00,"ק""ג",,14.9000
59622,2024-12-02 07:11:22,7290019056423,תפוזינה תפוחים 1.5 ל,יפאורה תבורי,,תפוזינה תפוחים 1.5 ל,,1.50,"ליטר    ",7.20,4.8000
67835,2024-12-02 07:11:23,7290019153757,תפוזינה תות פירות יע,,,תפוזינה תות פירות יע,,,,,
77167,2024-12-18 12:27:16,7290118424147,פריכיות עם שוקולד מר,אסם,,פריכיות עם שוקולד מר,גרמים,60.00,100 גרם,8.50,0.1417
77170,2024-12-18 16:47:16,7290018195192,טורטיה מזונות  מקמח,לאבאליה גידה שנאי וט,תורכיה,טורטיה מזונות  מקמח,,540.00,,18.90,0.0350
77171,,7290018195208,טורטיה מקמח חיטה  מל,,,טורטיה מקמח חיטה  מל,,320.00,,12.90,0.0403
2782,2024-12-22 06:32:21,7290008801010,יין פ. קולקשיין קברנ,יקבי כרמל,ישראל,יין פ. קולקשיין קברנ,מיליליטרים,750.00,"100 מ""ל",43.90,0.0585
77205,2024-12-22 13:07:16,7290118990857,"שומשום הנמל 1 ק""ג",",",לא ידוע,"שומשום הנמל 1 ק""ג","פריט    ",1.00,"ק""ג     ",19.90,19.9000
51342,2025-01-19 07:22:47,7290107944373,ביסקוויט עד חצות בלו,שטראוס גרופ,ישראל,ביסקוויט עד חצות בלו,גרמים,200.00,100 גרם,12.90,0.0645
77564,2025-01-21 14:27:18,7290119373703,סלט טחינה חריפה אחלה,שטראוס,,סלט טחינה חריפה אחלה,,250.00,,9.90,0.0396
77565,,7290119382262,סלט טחינה לבנה אחלה,,,סלט טחינה לבנה אחלה,,,,,
77566,2025-01-21 14:47:16,7290118426981,עוגיות מיני שוקוציפס,אסם,,עוגיות מיני שוקוציפס,,200.00,,,0.0495
52404,2025-01-27 12:18:45,835811000303,"אפונה הנמל 1.2 ק""ג",הנמל,,"אפונה הנמל 1.2 ק""ג","פריט    ",1.20,"ק""ג     ",10.90,9.0833
77624,2025-01-27 18:07:16,7290020085122,דג טונה בהירה טחון י,מזון מן הטבע,,דג טונה בהירה טחון י,גרמים,500.00,100 גרם,34.90,0.0698
77625,,7290001934098,פילה טונה אדומה ללא,,ויטנאם,פילה טונה אדומה ללא,קילוגרמים,1.00,"ק""ג",79.90,79.9000
1159,2025-01-30 13:40:52,7290003457991,טילוני קורנטו וניל 6,גלידות שטראוס,ישראל,טילוני קורנטו וניל 6,גרמים,360.00,100 גרם,32.90,0.0914
35386,,7290015597210,,,,,,,,,
49159,,7290112493934,גלידה קרמיסימו וניל,,,גלידה קרמיסימו וניל,קילוגרמים,1.33,"ליטר    ",21.50,16.1654
77688,2025-01-30 14:27:16,8717163647264,דאו ספריי אקס ציל 15,יוניליוור,אנגליה,דאו ספריי אקס ציל 15,מיליליטרים,150.00,"100 מ""ל",9.90,0.0660
77703,2025-02-02 13:27:17,7290008611930,סטייק טונה חומה פרוס,אן האי,סין,סטייק טונה חומה פרוס,קילוגרמים,1.00,"ק""ג",29.90,29.9000
77736,2025-02-04 13:47:16,96619992904,מגבונים קירקלנד ללא,N-F,ארצות הברית,מגבונים קירקלנד ללא,"Unknown ",0.00,"יחידה   ",13.90,0.0000
35005,2023-11-27 14:07:07,7290002292555,כבד עוף צלוי מצונן א,מעדני ד.א.י,לא ידוע,כבד עוף צלוי מצונן א,גרמים,500.00,100 גרם,69.90,0.1398
29281,2024-01-07 07:41:53,7290117901199,טורטיה על גחלים  טור,אקסולר,תורכיה,טורטיה על גחלים  טור,,520.00,,11.90,0.0229
35905,2024-01-25 16:07:07,7290119772599,קוקטייל וודקה ראשן ש,יפאורה שותפות מוגבלת,ישראל,קוקטייל וודקה ראשן ש,מיליליטרים,280.00,"100 מ""ל",12.50,0.0446
35916,2024-01-28 15:07:07,7290117905852,סוכריות גומי קפיצי ח,",",,סוכריות גומי קפיצי ח,גרמים,300.00,100 גרם,14.90,0.0497
35924,2024-01-28 15:27:07,7290117905937,לקריץ מסוכר אדום קפי,,,לקריץ מסוכר אדום קפי,,,,,
35710,2024-02-04 11:56:00,8001841907536,ג'ל כביסה אריאל פאוו,פרוקטר & גמבל,צרפת,ג'ל כביסה אריאל פאוו,קילוגרמים,2.50,"ליטר    ",33.90,13.5600
36124,2024-02-12 16:07:08,7290108621204,יין 1848 ספיישל אדיש,יקב 1848,ישראל,יין 1848 ספיישל אדיש,מיליליטרים,750.00,"100 מ""ל",99.90,0.1332
36522,2024-03-03 15:27:09,7290017289847,יין  טפרברג לגסי קבר,חבל יתיר,,יין  טפרברג לגסי קבר,,,,199.90,0.2665
34006,2024-03-03 16:12:25,7290101488316,דאו ליידי ספיד סטיק,קולגייט פלמוליב,בלרוס,דאו ליידי ספיד סטיק,גרמים,65.00,100 גרם,21.90,0.3369
37134,2024-03-31 16:47:08,7290120341050,שמן קנולה הירלום פאר,אס פי  פי יאג,רוסיה,שמן קנולה הירלום פאר,קילוגרמים,1.00,"ליטר    ",8.90,8.9000
37162,2024-04-01 12:27:07,7290104965739,שמפו קרליין 10 מאצ'ה,סנו,ישראל,שמפו קרליין 10 מאצ'ה,מיליליטרים,700.00,"100 מ""ל",10.90,0.0156
37588,2024-04-17 12:07:08,7290117769188,ממתק חמוץ שטוח  במגו,גלובל גידה,תורכיה,ממתק חמוץ שטוח  במגו,גרמים,500.00,100 גרם,9.90,0.0198
4602,2024-05-19 09:40:38,7290114310567,לאבנה עיזים 5% צוריא,מילקו,ישראל,לאבנה עיזים 5% צוריא,,200.00,,16.70,0.0835
4110,2024-05-23 09:12:40,7290110115623,פיוז תה זירו אפרסק 1,FUZE TEA,,פיוז תה זירו אפרסק 1,קילוגרמים,1.50,"ליטר    ",8.30,5.5333
13762,2024-05-27 13:41:06,7290004136857,גלי פטל תנובה 125 גר,תנובה מרכז שיתופי לש,,גלי פטל תנובה 125 גר,מיליליטרים,125.00,"100 מ""ל",2.60,0.0208
14936,2024-05-27 13:42:03,33383220291,אוכמניות יח,אראל תוצרת חקלאית בע,,אוכמניות יח,גרמים,140.00,גרם,15.90,0.1136
26753,,7798092421232,,,,,,,,8.90,0.0636
4275,2024-06-16 07:43:52,835811003007,סט מרקיות ולפתניות צ,מיקרון מקינה,תורכיה,סט מרקיות ולפתניות צ,"Unknown ",0.00,"יחידה   ",21.90,0.0000
38679,2024-06-30 14:27:09,7290016304640,לחמניות 100% קמח כוס,דוידוביץ,ישראל,לחמניות 100% קמח כוס,גרמים,360.00,100 גרם,10.90,0.0303
39635,2024-08-27 10:07:10,7290012969188,"תבניות ח""פ גדולות או",אופל אריזות בעמ,,"תבניות ח""פ גדולות או","Unknown ",0.00,"יחידה   ",4.90,0.0000
40094,2024-09-23 15:27:08,8700216278652,נוזל כלים פיירי 1.50,פרוקטר & גמבל,תורכיה,נוזל כלים פיירי 1.50,קילוגרמים,1.50,"ליטר    ",14.90,9.9333
40143,2024-09-26 13:07:08,7290116532899,נשנושים בטעם פלאפל א,בייגל בייגל,ישראל,נשנושים בטעם פלאפל א,גרמים,155.00,100 גרם,11.90,0.0768
5743,2024-09-29 06:34:36,7290107646154,מארז חטיף דגנים קוקו,יוניליוור,,מארז חטיף דגנים קוקו,,158.00,,14.90,0.0943
